timestamp,x,y,z
1511948396240461,1.125,-0.3125,-0.75
1511948396256503,0.375,0.125,-0.6875
1511948396280564,0,0.5625,-0.6875
1511948396295605,0.5,-0.375,-1.25
1511948396318169,-0.125,-0.5625,-0.9375
1511948396345743,-0.0625,0.1875,-0.25
1511948396355768,-0.6875,-0.1875,-0.0625
1511948396375818,-0.375,-0.5,-0.3125
1511948396423581,0,0,-0.25
1511948396424086,-0.5625,-0.4375,-0.125
1511948396436122,-0.3125,-0.4375,-0.1875
1511948396458672,0.0625,-0.25,-0.1875
1511948396473712,-0.6875,-0.375,0.0625
1511948396497370,-0.4375,-0.25,-0.0625
1511948396541612,-0.9375,-0.25,0.125
1511948396542616,-1,-0.25,0.375
1511948396563714,-0.0625,-0.125,0.3125
1511948396579714,-0.8125,-0.25,0.6875
1511948396594459,-0.5625,-0.25,0.625
1511948396623545,-0.1875,-0.0625,0.25
1511948396646103,-0.1875,-0.0625,0.0625
1511948396662640,0.875,0.5625,-0.25
1511948396675301,0.4375,0.5625,-0.3125
1511948396698236,0.3125,0.25,-0.5
1511948396714278,0.3125,0,-0.625
1511948396735334,0.6875,0.125,-0.625
1511948396758396,0.1875,0.3125,-0.375
1511948396774439,0.5625,0.3125,-0.5
1511948396796997,0.25,0.25,-0.4375
1511948396818554,0.5625,0.125,-0.4375
1511948396834096,0.125,0.125,-0.375
1511948396855154,0.0625,0,0
1511948396878717,0.375,-0.0625,-0.0625
1511948396902277,0.0625,-0.25,-0.125
1511948396940387,0,-0.25,-0.125
1511948396942885,0.5625,-0.0625,-0.1875
1511948396969456,0.125,-0.0625,-0.125
1511948396975499,-0.0625,-0.125,-0.0625
1511948397000038,-0.125,-0.3125,-0.125
1511948397014077,-0.375,-0.4375,-0.0625
1511948397036635,2.125,-0.9375,-0.3125
1511948397051675,4.0625,-1.6875,-0.8125
1511948397074235,2.6875,-1.5,-0.75
1511948397096794,2.0625,-1,-0.0625
1511948397113500,0.625,-0.375,1.125
1511948397134054,0.625,-0.4375,1.1875
1511948397156614,1.4375,-0.4375,1.8125
1511948397180176,-0.125,-1.375,2.0625
1511948397202236,0.6875,-0.75,0.9375
1511948397216776,-1.375,-1.4375,0.25
1511948397256379,-0.875,0.5625,-0.125
1511948397260892,2.125,-0.4375,-0.75
1511948397285179,1.6875,0.5625,-1.0625
1511948397293198,0.125,1.375,-1.125
1511948397315759,0.875,2.5625,-0.375
1511948397336814,0.3125,2.9375,0.1875
1511948397359374,0.75,0.875,-0.875
1511948397374414,1.625,-0.5625,-2.6875
1511948397405058,2.75,-0.75,-4.125
1511948397426113,3.375,0.8125,-3.125
1511948397442658,1.875,2.125,-1.3125
1511948397456696,0.8125,0.1875,-0.3125
1511948397480759,-0.75,-0.625,0.1875
1511948397495801,-0.5625,0.125,1
1511948397532464,0.9375,1,1.375
1511948397534903,-0.3125,0.3125,0.75
1511948397561975,-1,0.5,1.6875
1511948397577517,-0.0625,0.75,1.125
1511948397592056,0.1875,-0.5,0.3125
1511948397612768,-0.875,-0.4375,0.0625
1511948397635768,-1,0.375,0.1875
1511948397650334,-0.25,0.875,0.1875
1511948397684398,-0.625,0.75,0.375
1511948397695927,-1.1875,0.125,0.0625
1511948397710466,-3,1.375,0.8125
1511948397734530,-1.6875,-0.125,0.375
1511948397756088,0.1875,-0.5625,-0.5
1511948397771629,-1.0625,-0.5,0.0625
1511948397803714,-1.4375,0.25,0.5625
1511948397824270,-1.1875,0.8125,0.3125
1511948397830284,-1.3125,-0.0625,0.3125
1511948397852846,-1.25,-0.625,0.4375
1511948397875906,0.25,-0.375,0.0625
1511948397890449,0,-0.4375,0
1511948397914100,-0.375,-0.125,-0.0625
1511948397936212,0.0625,-0.0625,-0.0625
1511948397950205,0.3125,-0.3125,0.3125
1511948397981811,0.375,-0.25,0.25
1511948397996318,0.0625,-0.125,0.0625
1511948398011861,0,0,0.125
1511948398034421,0.125,0.1875,-0.125
1511948398056106,0,0.5,-0.4375
1511948398080042,-0.6875,0.5,-0.5
1511948398101231,0.25,0.5,-0.375
1511948398119240,0.3125,0.75,-0.3125
1511948398130317,0.8125,0.125,-0.5
1511948398152877,0.8125,0,-0.5625
1511948398175939,0.3125,0.1875,-0.375
1511948398190410,0.6875,0.25,-0.375
1511948398215602,0.1875,0.1875,-0.1875
1511948398236226,0.375,0.1875,-0.125
1511948398250263,1,0.25,-0.25
1511948398272755,0.3125,0.25,-0.3125
1511948398312429,1.1875,-0.0625,-0.4375
1511948398314867,0.125,0.0625,-0.375
1511948398332982,0.4375,0.125,-0.5
1511948398357982,0.25,0.0625,-0.4375
1511948398372019,0.125,-0.1875,-0.625
1511948398394589,0.125,0.25,-0.5
