timestamp,x,y,z
1511948396240461,0.220215,0.743164,0.606934
1511948396256503,0.229004,0.742188,0.601563
1511948396280564,0.221191,0.74707,0.609375
1511948396295605,0.227051,0.736816,0.594727
1511948396318169,0.230957,0.737305,0.595215
1511948396345743,0.227539,0.741699,0.599121
1511948396355768,0.225098,0.737305,0.601563
1511948396375818,0.227539,0.734375,0.605469
1511948396423581,0.224121,0.741211,0.603027
1511948396424086,0.220703,0.739258,0.600098
1511948396436122,0.225586,0.736816,0.59668
1511948396458672,0.222168,0.741211,0.603027
1511948396473712,0.223145,0.737305,0.602539
1511948396497370,0.227051,0.746094,0.609863
1511948396541612,0.228027,0.736328,0.600586
1511948396542616,0.230469,0.73291,0.603516
1511948396563714,0.228027,0.742188,0.603027
1511948396579714,0.223145,0.73877,0.599121
1511948396594459,0.224609,0.743652,0.600586
1511948396623545,0.227539,0.746094,0.605957
1511948396646103,0.227051,0.739746,0.611328
1511948396662640,0.216309,0.744141,0.602539
1511948396675301,0.217285,0.743164,0.597656
1511948396698236,0.223633,0.739746,0.597168
1511948396714278,0.225098,0.73877,0.602539
1511948396735334,0.228516,0.737305,0.60498
1511948396758396,0.230957,0.739746,0.604492
1511948396774439,0.229492,0.736816,0.609375
1511948396796997,0.225098,0.739746,0.605469
1511948396818554,0.223145,0.740723,0.603027
1511948396834096,0.224121,0.740234,0.598633
1511948396855154,0.224609,0.734863,0.596191
1511948396878717,0.220703,0.745605,0.598145
1511948396902277,0.223145,0.744629,0.602051
1511948396940387,0.224121,0.744629,0.603027
1511948396942885,0.224121,0.740234,0.599121
1511948396969456,0.226563,0.746094,0.593262
1511948396975499,0.230469,0.742676,0.603516
1511948397000038,0.233398,0.739258,0.600098
1511948397014077,0.225586,0.746582,0.600586
1511948397036635,0.223145,0.737305,0.608887
1511948397051675,0.223633,0.740234,0.600586
1511948397074235,0.227539,0.744629,0.60791
1511948397096794,0.229492,0.749023,0.589844
1511948397113500,0.231934,0.753418,0.583496
1511948397134054,0.233398,0.73584,0.594727
1511948397156614,0.211426,0.751465,0.589355
1511948397180176,0.214844,0.736816,0.606934
1511948397202236,0.217773,0.726074,0.606445
