timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511948396424580 ,-1,2,4,2,2,-11,-3,1
1511948396424580 ,-4,-3,-4,9,-7,-6,-5,-2
1511948396425580 ,-4,-2,-2,11,8,2,-3,-5
1511948396425580 ,3,3,2,-3,-3,6,6,2
1511948396429100 ,1,-1,-2,-5,-4,0,0,2
1511948396429100 ,-1,-1,-3,-7,-1,-3,-3,0
1511948396432110 ,-9,-4,-3,-7,-3,-4,-5,-5
1511948396432110 ,2,3,3,5,5,1,0,-1
1511948396437110 ,1,0,0,0,2,0,0,0
1511948396437110 ,6,-3,-1,-6,-5,-2,-1,-1
1511948396451740 ,-17,-4,-7,-7,0,-4,-2,-4
1511948396451740 ,2,3,5,6,-1,-2,-2,-1
1511948396459670 ,2,0,0,-3,-7,1,0,1
1511948396459670 ,-1,-5,-4,-7,-2,-5,-4,-2
1511948396466720 ,4,-2,-3,-3,3,1,-1,-2
1511948396466720 ,1,-1,-1,1,-1,-3,2,1
1511948396474210 ,-5,-4,-6,-6,0,-1,0,-1
1511948396474210 ,-2,-3,-1,17,-4,3,-1,-1
1511948396487750 ,0,-1,-6,-39,-8,-3,0,0
1511948396487750 ,0,4,11,32,8,2,1,0
1511948396499780 ,1,-2,-1,5,1,-6,-4,1
1511948396499780 ,-3,-1,-2,-11,3,-1,-2,-3
1511948396519360 ,1,-1,1,3,0,-1,-1,-2
1511948396519360 ,0,-1,-4,-7,-1,-2,-3,0
1511948396558210 ,-4,-8,-7,-7,-6,-5,-3,-2
1511948396558210 ,-7,-7,-5,-4,-1,-2,-4,-5
1511948396558650 ,3,4,2,-2,7,2,2,1
1511948396558650 ,0,2,-3,-7,-4,2,0,2
1511948396559660 ,-4,-3,-3,6,5,-2,-3,-1
1511948396559660 ,-4,-6,-7,-16,-13,-7,-6,-6
1511948396560660 ,5,5,16,21,7,1,0,-1
1511948396560660 ,-8,0,1,-5,0,4,0,1
1511948396564170 ,-4,-4,-6,-11,-8,-5,-4,-2
1511948396564170 ,-5,-5,-7,3,0,-5,-6,-3
1511948396578770 ,0,2,-4,-7,1,3,-2,-2
1511948396578770 ,6,3,1,-2,-1,-3,1,2
1511948396585250 ,-1,-2,-3,-5,-9,-3,-2,-2
1511948396585250 ,-7,-3,-4,4,-8,-1,-3,-6
1511948396593480 ,3,1,-1,-10,6,4,2,0
1511948396593480 ,3,1,3,10,-1,2,1,1
1511948396600530 ,-3,-2,-1,1,-9,-11,-6,-2
1511948396600530 ,0,-3,-2,-19,9,-2,-1,-2
1511948396608020 ,0,1,-1,9,1,1,2,-2
1511948396608020 ,1,-2,-4,-2,-7,-4,-1,-1
1511948396624530 ,-1,-2,-3,-9,-2,0,-3,0
1511948396624530 ,-6,-4,-5,-12,-3,-1,-3,-4
1511948396630580 ,-3,0,3,23,14,2,-1,0
1511948396630580 ,-1,-1,0,-5,-6,0,1,-1
1511948396646590 ,-1,-1,-7,-12,-5,-4,-3,-2
1511948396646590 ,0,0,9,10,-5,-2,-3,-3
1511948396661630 ,0,-1,-6,-14,-1,-2,0,0
1511948396661630 ,0,0,1,19,1,-5,-1,-1
1511948396663140 ,-2,-1,-1,-1,3,1,-1,-1
1511948396663140 ,-2,-5,-7,-7,-4,1,-1,-3
1511948396668180 ,-1,-1,0,24,1,1,-1,-1
1511948396668180 ,1,0,-3,-50,-2,-3,-1,0
1511948396682760 ,-2,-3,-2,6,3,0,-2,-3
1511948396682760 ,-3,0,-3,-4,6,0,-1,-3
1511948396690280 ,-2,-1,-1,2,-15,-5,-2,-2
1511948396690280 ,-1,-1,-3,3,12,0,-3,1
1511948396699230 ,-2,0,-1,-7,-14,-2,-2,-1
1511948396699230 ,0,0,0,5,2,-6,-2,0
1511948396713270 ,-2,-1,-2,-20,-2,7,-2,-2
1511948396713270 ,0,-2,-3,7,-5,-2,-2,-2
1511948396720290 ,-2,-2,7,6,-6,1,1,-1
1511948396720290 ,6,-1,-7,-2,7,-1,-1,-1
1511948396727810 ,-16,-1,6,6,-8,-8,-3,-2
